,Date,vendors,Debit,Credit,account
0,2024-06-28,Service Charge,16.95,0.0,chequing
1,2024-06-28,WALMART,22.24,0.0,chequing
2,2024-06-28,WALMART,16.83,0.0,chequing
3,2024-06-28,WALMART,3.3,0.0,chequing
4,2024-06-28,WALMART,4.34,0.0,chequing
5,2024-06-27,WALMART,6.81,0.0,chequing
6,2024-06-26,WALMART,7.37,0.0,chequing
7,2024-06-26,WALMART,5.9,0.0,chequing
8,2024-06-26,MCDONALD'S,1.33,0.0,chequing
9,2024-06-26,WALMART,9.94,0.0,chequing
10,2024-06-25,Tim Hortons,3.66,0.0,chequing
11,2024-06-25,PANAGO,5.65,0.0,chequing
12,2024-06-25,WALMART,1.65,0.0,chequing
13,2024-06-25,MCDONALD'S,1.33,0.0,chequing
14,2024-06-25,Remitly Transaction,250.91,0.0,chequing
15,2024-06-25,Cannabis Street,22.36,0.0,chequing
16,2024-06-24,WALMART,2.36,0.0,chequing
17,2024-06-24,MCDONALD'S,4.73,0.0,chequing
18,2024-06-24,Biju,0.0,300.0,chequing
19,2024-06-24,WALMART,4.65,0.0,chequing
20,2024-06-24,WALMART,11.69,0.0,chequing
21,2024-06-24,Youtube Music,6.2,0.0,chequing
22,2024-06-24,MCDONALD'S,1.98,0.0,chequing
23,2024-06-21,GO transit,14.0,0.0,chequing
24,2024-06-21,WALMART,10.63,0.0,chequing
25,2024-06-21,MCDONALD'S,1.33,0.0,chequing
26,2024-06-21,UBER,21.31,0.0,chequing
27,2024-06-21,Walmart Paycheque,0.0,627.49,chequing
28,2024-06-20,HUDSON'S,61.01,0.0,chequing
30,2024-06-20,MCDONALD'S,4.19,0.0,chequing
31,2024-06-20,Tomi,75.0,0.0,chequing
32,2024-06-20,Siddharth,0.0,25.0,chequing
33,2024-06-19,Value Village,25.17,0.0,chequing
34,2024-06-19,SQ,33.9,0.0,chequing
35,2024-06-19,Tim Hortons,1.67,0.0,chequing
36,2024-06-19,Siddharth,0.0,10.5,chequing
37,2024-06-18,Affirm,88.14,0.0,chequing
38,2024-06-18,Twisted Roots,21.46,0.0,chequing
39,2024-06-18,Door Dash,12.33,0.0,chequing
40,2024-06-17,Tim Hortons,5.64,0.0,chequing
41,2024-06-17,Jug City,9.05,0.0,chequing
42,2024-06-17,WALMART,20.35,0.0,chequing
43,2024-06-17,MCDONALD'S,1.67,0.0,chequing
44,2024-06-17,UBER,19.94,0.0,chequing
45,2024-06-17,Tim Hortons,3.97,0.0,chequing
46,2024-06-17,Presto,3.3,0.0,chequing
47,2024-06-17,WALMART,14.88,0.0,chequing
48,2024-06-14,MCDONALD'S,2.09,0.0,chequing
49,2024-06-14,Tim Hortons,3.71,0.0,chequing
50,2024-06-13,DOLLARAMA,14.92,0.0,chequing
52,2024-06-12,No Frills,6.95,0.0,chequing
53,2024-06-12,Almost Perfect,5.28,0.0,chequing
54,2024-06-12,WALMART,3.57,0.0,chequing
55,2024-06-12,MCDONALD'S,3.14,0.0,chequing
56,2024-06-12,UBER,17.65,0.0,chequing
57,2024-06-12,WENDY'S,16.7,0.0,chequing
58,2024-06-11,Siddharth,0.0,150.0,chequing
59,2024-06-11,ATM Withdrawal,150.0,0.0,chequing
60,2024-06-10,Tim Hortons,7.89,0.0,chequing
61,2024-06-10,Siddharth,0.0,9.76,chequing
62,2024-06-10,Door Dash,1.26,0.0,chequing
63,2024-06-10,Door Dash,29.26,0.0,chequing
64,2024-06-10,WALMART,6.15,0.0,chequing
65,2024-06-10,MCDONALD'S,3.14,0.0,chequing
66,2024-06-10,WALMART,2.9,0.0,chequing
67,2024-06-07,Tim Hortons,9.93,0.0,chequing
68,2024-06-07,Walmart Paycheque,0.0,627.33,chequing
69,2024-06-06,Siddharth,19.26,0.0,chequing
70,2024-06-06,hive,25.0,0.0,chequing
72,2024-06-06,FAMOUS,16.0,0.0,chequing
73,2024-06-05,Tim Hortons,6.09,0.0,chequing
74,2024-06-04,GO transit,5.38,0.0,chequing
75,2024-06-04,L M Taylor,112.94,0.0,chequing
77,2024-06-03,DOLLARAMA,11.51,0.0,chequing
78,2024-06-03,Tim Hortons,1.92,0.0,chequing
79,2024-06-03,Home Rent,500.0,0.0,chequing
81,2024-06-03,Twisted Roots,23.72,0.0,chequing
82,2024-06-03,Siddharth,0.0,8.22,chequing
83,2024-06-03,WALMART,16.45,0.0,chequing
84,2024-06-03,WALMART,5.69,0.0,chequing
85,2024-06-03,MCDONALD'S,3.45,0.0,chequing
86,2024-06-03,UBER,19.22,0.0,chequing
87,2024-06-03,Siddharth,15.0,0.0,chequing
88,2024-06-03,UBER,7.28,0.0,chequing
89,2024-06-03,Beer Store,3.3,0.0,chequing
90,2024-06-03,WALMART,4.03,0.0,chequing
