Date,Transaction,Debit,Credit,account
2024-06-20,Internet Banking INTERNET TRANSFER 000000118084,50.0,,savings
2024-06-06,Internet Banking INTERNET TRANSFER 000000113596,50.0,,savings
2024-06-04,Internet Banking INTERNET TRANSFER 000000108836,100.0,,savings
2024-06-03,Internet Banking INTERNET TRANSFER 000000133312,200.0,,savings
2024-05-31,Branch Transaction INTEREST,,0.31,savings
2024-05-21,Internet Banking INTERNET TRANSFER 000000100685,200.0,,savings
2024-05-21,Internet Banking INTERNET TRANSFER 000000100053,50.0,,savings
2024-05-21,Internet Banking INTERNET TRANSFER 000000230941,50.0,,savings
2024-05-10,Internet Banking INTERNET TRANSFER 000000228195,,76.91,savings
2024-05-08,Internet Banking INTERNET TRANSFER 000000138272,50.0,,savings
2024-05-07,Branch Transaction SMART INTEREST,,0.38,savings
2024-05-06,Internet Banking INTERNET TRANSFER 000000204046,73.06,,savings
2024-05-02,Internet Banking INTERNET TRANSFER 000000234771,500.0,,savings
2024-04-30,Branch Transaction INTEREST,,0.3,savings
2024-04-25,Internet Banking INTERNET TRANSFER 000000121669,50.0,,savings
2024-04-22,Internet Banking INTERNET TRANSFER 000000112857,,843.57,savings
2024-04-15,Internet Banking INTERNET TRANSFER 000000234954,,150.0,savings
2024-04-01,Internet Banking INTERNET TRANSFER 000000227629,,600.0,savings
2024-04-01,Internet Banking INTERNET TRANSFER 000000110366,800.0,,savings
2024-04-01,Internet Banking INTERNET TRANSFER 000000231748,,300.0,savings
2024-03-28,Branch Transaction INTEREST,,0.52,savings
2024-03-19,Internet Banking INTERNET TRANSFER 000000130141,,200.0,savings
2024-03-07,Branch Transaction SMART INTEREST,,1.38,savings
2024-03-06,Internet Banking INTERNET TRANSFER 000000209437,3701.79,,savings
2024-02-29,Branch Transaction INTEREST,,1.79,savings
2024-02-29,Internet Banking INTERNET TRANSFER 000000116955,,497.77,savings
2024-02-07,Branch Transaction SMART INTEREST,,0.64,savings
2024-02-02,Internet Banking INTERNET TRANSFER 000000126673,,1400.0,savings
2024-01-31,Branch Transaction INTEREST,,0.83,savings
2024-01-19,Internet Banking INTERNET TRANSFER 000000137948,,1000.0,savings
2024-01-08,Branch Transaction SMART INTEREST,,0.33,savings
2024-01-04,Internet Banking INTERNET TRANSFER 000000130926,,200.0,savings
2023-12-29,Branch Transaction INTEREST,,0.43,savings
2023-12-27,Internet Banking INTERNET TRANSFER 000000128002,100.0,,savings
2023-12-14,Internet Banking INTERNET TRANSFER 000000106018,,339.93,savings
2023-12-08,Internet Banking INTERNET TRANSFER 000000115493,,159.99,savings
2023-12-07,Branch Transaction SMART INTEREST,,0.08,savings
2023-12-06,Internet Banking INTERNET TRANSFER 000000216483,,159.32,savings
2023-12-01,Internet Banking INTERNET TRANSFER 000000235853,,17.78,savings
2023-11-30,Branch Transaction INTEREST,,0.11,savings
2023-11-28,Internet Banking INTERNET TRANSFER 000000233914,,18.67,savings
2023-11-16,Internet Banking INTERNET TRANSFER 000000204851,,200.0,savings
2023-10-31,Branch Transaction INTEREST,,0.06,savings
2023-09-29,Branch Transaction INTEREST,,0.18,savings
2023-09-19,Internet Banking INTERNET TRANSFER 000000116184,20.0,,savings
2023-09-14,Internet Banking INTERNET TRANSFER 000000114484,50.0,,savings
2023-09-11,Internet Banking INTERNET TRANSFER 000000213923,600.0,,savings
2023-08-31,Branch Transaction INTEREST,,1.39,savings
2023-08-30,Internet Banking INTERNET TRANSFER 000000128284,2000.0,,savings
2023-08-25,Branch Transaction BONUS INTEREST,,5.79,savings
2023-08-16,Internet Banking INTERNET TRANSFER 000000208701,,250.0,savings
2023-08-08,Branch Transaction SMART INTEREST,,0.86,savings
2023-07-31,Branch Transaction BONUS INTEREST,,5.33,savings
2023-07-31,Branch Transaction INTEREST,,0.9,savings
2023-07-31,Internet Banking INTERNET TRANSFER 000000115917,,500.0,savings
2023-07-10,Branch Transaction SMART INTEREST,,0.63,savings
2023-06-30,Branch Transaction BONUS INTEREST,,3.91,savings
2023-06-30,Branch Transaction INTEREST,,0.5,savings
2023-06-23,Internet Banking INTERNET TRANSFER 000000133903,,300.0,savings
2023-06-16,Internet Banking INTERNET TRANSFER 000000107042,,500.0,savings
2023-06-07,Branch Transaction SMART INTEREST,,0.5,savings
2023-05-31,Branch Transaction BONUS INTEREST,,3.13,savings
2023-05-31,Branch Transaction INTEREST,,0.4,savings
2023-05-05,Branch Transaction SMART INTEREST,,0.07,savings
2023-05-03,Internet Banking INTERNET TRANSFER 000000111852,,200.0,savings
