Date,Transaction,Debit,Credit,account
2024-06-28,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,,chequing
2024-06-28,Point of Sale - Interac RETAIL PURCHASE 000001001980 WALMART STORE #,22.24,,chequing
2024-06-28,Point of Sale - Interac RETAIL PURCHASE 000001001590 WALMART STORE #,16.83,,chequing
2024-06-28,Point of Sale - Interac RETAIL PURCHASE 000001001358 WALMART STORE #,3.3,,chequing
2024-06-28,Point of Sale - Interac RETAIL PURCHASE 000001001351 WALMART STORE #,4.34,,chequing
2024-06-27,Point of Sale - Interac RETAIL PURCHASE 000001001037 WALMART STORE #,6.81,,chequing
2024-06-26,Point of Sale - Interac RETAIL PURCHASE 000001001808 WALMART STORE #,7.37,,chequing
2024-06-26,Point of Sale - Interac RETAIL PURCHASE 000001001009 WALMART STORE #,5.9,,chequing
2024-06-26,Point of Sale - Interac RETAIL PURCHASE 417808109688 MCDONALD'S #400,1.33,,chequing
2024-06-26,Point of Sale - Interac RETAIL PURCHASE 000001001772 WALMART STORE #,9.94,,chequing
2024-06-25,Point of Sale - Interac RETAIL PURCHASE 417715222247 TIM HORTONS #26,3.66,,chequing
2024-06-25,Point of Sale - Interac RETAIL PURCHASE 000001033037 PANAGO #167 WHI,5.65,,chequing
2024-06-25,Point of Sale - Interac RETAIL PURCHASE 000001001385 WALMART STORE #,1.65,,chequing
2024-06-25,Point of Sale - Interac RETAIL PURCHASE 417710262245 MCDONALD'S #400,1.33,,chequing
2024-06-25,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE REMITLY* B96FA 417703150765,250.91,,chequing
2024-06-25,Point of Sale - Interac RETAIL PURCHASE 417619320515 CANNABIS STREET,22.36,,chequing
2024-06-24,Point of Sale - Interac RETAIL PURCHASE 000001001954 WALMART STORE #,2.36,,chequing
2024-06-24,Point of Sale - Interac RETAIL PURCHASE 417612393713 MCDONALD'S #400,4.73,,chequing
2024-06-24,Internet Banking E-TRANSFER 011033875793 Biju Mathews,,300.0,chequing
2024-06-24,Point of Sale - Interac RETAIL PURCHASE 000001001262 WALMART STORE #,4.65,,chequing
2024-06-24,Point of Sale - Interac RETAIL PURCHASE 000001001846 WALMART STORE #,11.69,,chequing
2024-06-24,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GOOGLE *YouTube 417570078411,6.2,,chequing
2024-06-24,Point of Sale - Interac RETAIL PURCHASE 417508356035 MCDONALD'S #186,1.98,,chequing
2024-06-21,Point of Sale - Interac RETAIL PURCHASE 417317300973 OSHAWA - GO TVM,14.0,,chequing
2024-06-21,Point of Sale - Interac RETAIL PURCHASE 000001001155 WALMART STORE #,10.63,,chequing
2024-06-21,Point of Sale - Interac RETAIL PURCHASE 417307391395 MCDONALD'S #400,1.33,,chequing
2024-06-21,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UBER CANADA/UBE 417304110612,21.31,,chequing
2024-06-21,Electronic Funds Transfer PAY Wage/salary 003 WAL-MART CANADA CORP,,627.49,chequing
2024-06-20,Point of Sale - Interac RETAIL PURCHASE 000001001115 HUDSON'S BAY #1,61.01,,chequing
2024-06-20,Internet Banking INTERNET TRANSFER 000000118084,,50.0,chequing
2024-06-20,Point of Sale - Interac RETAIL PURCHASE 417209449090 MCDONALD'S #400,4.19,,chequing
2024-06-20,Internet Banking E-TRANSFER 105038307510 Tomi,75.0,,chequing
2024-06-20,Internet Banking E-TRANSFER 010984703240 SIDDHARTH APPU,,25.0,chequing
2024-06-19,Point of Sale - Interac RETAIL PURCHASE 000001002239 VALUE VILLAGE #,25.17,,chequing
2024-06-19,Point of Sale - Interac RETAIL PURCHASE 275148026590 SQ *LEGACYTO,33.9,,chequing
2024-06-19,Point of Sale - Interac RETAIL PURCHASE 417012193305 TIM HORTONS #18,1.67,,chequing
2024-06-19,Internet Banking E-TRANSFER 011029261483 SIDDHARTH APPU,,10.5,chequing
2024-06-18,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AFFIRM CANADA 417010966253,88.14,,chequing
2024-06-18,Point of Sale - Interac RETAIL PURCHASE 001001001451 TWISTED ROOTS C,21.46,,chequing
2024-06-18,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASHREETAJR 416922740257,12.33,,chequing
2024-06-17,Point of Sale - Interac RETAIL PURCHASE 416913938455 TIM HORTONS #24,5.64,,chequing
2024-06-17,Point of Sale - Interac RETAIL PURCHASE 000001037061 JUG CITY,9.05,,chequing
2024-06-17,Point of Sale - Interac RETAIL PURCHASE 000001001880 WALMART STORE #,20.35,,chequing
2024-06-17,Point of Sale - Interac RETAIL PURCHASE 416807181827 MCDONALD'S #400,1.67,,chequing
2024-06-17,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE UBER* PENDING 416808622083,19.94,,chequing
2024-06-17,Point of Sale - Interac RETAIL PURCHASE 416606501762 TIM HORTONS #20,3.97,,chequing
2024-06-17,Point of Sale - Interac RETAIL PURCHASE 416706108305 PRES/55GC95SWV8,3.3,,chequing
2024-06-17,Point of Sale - Interac RETAIL PURCHASE 000001001010 WALMART STORE #,14.88,,chequing
2024-06-14,Point of Sale - Interac RETAIL PURCHASE 416616394227 MCDONALD'S #400,2.09,,chequing
2024-06-14,Point of Sale - Interac RETAIL PURCHASE 416610912767 TIM HORTONS #24,3.71,,chequing
2024-06-13,Point of Sale - Interac RETAIL PURCHASE 416514276634 DOLLARAMA # 392,14.92,,chequing
