Date,Transaction,Purchases,Payments/Interests,account
2024-06-25,PURCHASE INTEREST,12.27,,credit
2024-06-25,"Amazon.ca Prime Member amazon.ca/pri, BC",5.64,,credit
2024-06-17,"NEURONCA* PASS-4W VANCOUVER, BC",3.38,,credit
2024-06-17,"NEURONCA* TRIP-UP VANCOUVER, BC",3.41,,credit
2024-06-14,PAYMENT THANK YOU/PAIEMEN T MERCI,,200.0,credit
2024-06-10,"DD/DOORDASHVAZHIYORAM VANCOUVER, BC",10.71,,credit
2024-06-10,"NEURONCA* TEMPHOLD-3C VANCOUVER, BC",5.1,,credit
2024-06-10,"FIDO Mobile ******8481 888-481-3436, ON",38.42,,credit
2024-06-07,AMAZON WEB SERVICES MUMBAI -2.00 INR @ .015000,,0.03,credit
2024-06-06,AMAZON WEB SERVICES MUMBAI 2.00 INR @ .015000,0.03,,credit
2024-05-30,"TIM HORTONS #2478 416-738-9379, ON",2.61,,credit
2024-05-27,"Amazon.ca Prime Member amazon.ca/pri, BC",5.64,,credit
2024-05-24,PURCHASE INTEREST,16.24,,credit
2024-05-22,PAYMENT THANK YOU/PAIEMEN T MERCI,,200.0,credit
2024-05-09,"HEROKU* APR-94739863 WWW.HEROKU.CO, CA 1.33 USD @ 1.413533",1.88,,credit
2024-05-09,"FIDO Mobile ******8481 888-481-3436, ON",38.42,,credit
2024-04-25,PURCHASE INTEREST,14.83,,credit
2024-04-25,"Amazon.ca Prime Member amazon.ca/pri, BC",5.64,,credit
2024-04-23,"PRECISE PARKLINK INC TORONTO, ON",5.0,,credit
2024-04-23,PAYMENT THANK YOU/PAIEMEN T MERCI,,30.0,credit
2024-04-12,"McDonalds 40081 WHITBY, ON",6.32,,credit
2024-04-08,"FIDO Mobile ******8481 888-481-3436, ON",33.42,,credit
2024-04-08,"Amazon.ca*NP66D0QA3 AMAZON.CA, ON",9.01,,credit
2024-03-27,"Amazon.ca*RH4RG5KL1 AMAZON.CA, ON",10.92,,credit
2024-03-27,PAYMENT THANK YOU/PAIEMEN T MERCI,,100.0,credit
2024-03-26,"AMZN Mktp CA*RA6PS2AS2 WWW.AMAZON.CA, ON",36.12,,credit
2024-03-25,PURCHASE INTEREST,16.43,,credit
2024-03-20,"TIM HORTONS #2478 416-738-9379, ON",4.84,,credit
2024-03-11,"FIDO Mobile ******8481 888-481-3436, ON",33.42,,credit
2024-02-27,PAYMENT THANK YOU/PAIEMEN T MERCI,,100.0,credit
2024-02-27,INTEREST REVERSAL,,0.05,credit
2024-02-27,PAYMENT THANK YOU/PAIEMEN T MERCI,,33.96,credit
2024-02-27,INTEREST REVERSAL,,0.03,credit
2024-02-23,PURCHASE INTEREST,23.96,,credit
2024-02-23,"APPLE.COM/BILL 866-712-7753, ON",16.94,,credit
2024-02-08,"FIDO Mobile ******8481 888-481-3436, ON",33.42,,credit
2024-02-07,PAYMENT THANK YOU/PAIEMEN T MERCI,,10.0,credit
2024-02-05,"UBER CANADA/UBERTRIP TORONTO, ON",17.67,,credit
2024-02-05,"LYFT *RIDE SAT 4AM VANCOUVER, BC",20.99,,credit
2024-02-05,"McDonalds 3313 OSHAWA, ON",22.79,,credit
2024-02-01,"LYFT *RIDE TUE 8AM VANCOUVER, BC",17.82,,credit
2024-01-29,"UBER CANADA/UBEREATS TORONTO, ON",30.33,,credit
2024-01-26,"WAL-MART SUPERCENTER#3113 WHITBY, ON",2.67,,credit
2024-01-23,"WAL-MART SUPERCENTER#3113 WHITBY, ON",17.23,,credit
2024-01-22,"TIM HORTONS #2616 WHITBY, ON",1.56,,credit
2024-01-22,"DOORDASHOSMOWS DOWNTOWN TORO, ON",24.17,,credit
2024-01-19,"LYFT *RIDE THU 9PM VANCOUVER, BC",7.5,,credit
2024-01-18,"WAL-MART SUPERCENTER#3113 WHITBY, ON",5.37,,credit
2024-01-18,"WAL-MART SUPERCENTER#3113 WHITBY, ON",35.78,,credit
2024-01-17,"TIM HORTONS #2478 416-738-9379, ON",3.66,,credit
2024-01-16,"LCBO/RAO #0152 OSHAWA, ON",14.95,,credit
2024-01-15,"Audible CA*RT4YU7B02 Amzn.com/bill, NJ",15.7,,credit
2024-01-15,"DOMINOS PIZZA #10557 OSHAWA, ON",17.22,,credit
2024-01-15,"ADA*VENDING MACHINE- C MARKHAM, ON",2.75,,credit
2024-01-15,"ADA*VENDING MACHINE- C MARKHAM, ON",2.75,,credit
2024-01-15,"ADA*VENDING MACHINE- C MARKHAM, ON",2.75,,credit
2024-01-12,"TIM HORTONS #2478 OSHAWA, ON",3.71,,credit
2024-01-12,"TIM HORTONS #2478 416-738-9379, ON",1.05,,credit
2024-01-12,"WAL-MART SUPERCENTER#3113 WHITBY, ON",5.55,,credit
2024-01-12,"WAL-MART SUPERCENTER#1056 OSHAWA, ON",155.51,,credit
2024-01-11,"MARY JANE'S - OSHAWA OSHAWA, ON",6.68,,credit
2024-01-10,"LYFT *RIDE TUE 4PM VANCOUVER, BC",8.89,,credit
2024-01-10,"TIM HORTONS #2478 OSHAWA, ON",1.92,,credit
2024-01-10,"TIM HORTONS #2478 416-738-9379, ON",3.14,,credit
2024-01-10,"TIM HORTONS #3927 OSHAWA, ON",1.98,,credit
2024-01-08,"FIDO Mobile ******8481 888-481-3436, ON",34.55,,credit
2024-01-08,"TIM HORTONS #2616 WHITBY, ON",4.89,,credit
2024-01-08,"DOLLARAMA #1522 OSHAWA, ON",6.22,,credit
2024-01-08,"BUD RUNNERS CANNABIS - OSHAWA, ON",23.71,,credit
2024-01-08,"AMZN Mktp CA*TK19W5RJ0 WWW.AMAZON.CA, ON",71.17,,credit
2024-01-08,"WAL-MART SUPERCENTER#3161 OSHAWA, ON",62.8,,credit
2024-01-08,"WAL-MART SUPERCENTER#3113 WHITBY, ON",4.14,,credit
2024-01-05,"AGOSTINO'S AND NANCYS OSHAWA, ON",6.48,,credit
2024-01-05,"WAL-MART SUPERCENTER#3113 WHITBY, ON",55.29,,credit
2024-01-04,"Subway 48132 Oshawa, ON",9.03,,credit
2024-01-03,"DOLLARAMA # 889 OSHAWA, ON",28.82,,credit
2024-01-03,PAYMENT THANK YOU/PAIEMEN T MERCI,,441.35,credit
2024-01-03,"FRESHCO #3888 OSHAWA, ON",5.98,,credit
2024-01-03,"FRESHCO #3888 OSHAWA, ON",12.96,,credit
2024-01-02,"ULTRAMAR #32599 OSHAWA, ON",30.0,,credit
2024-01-02,"WAL-MART SUPERCENTER#3113 WHITBY, ON",8.58,,credit
2024-01-02,PAYMENT THANK YOU/PAIEMEN T MERCI,,10.0,credit
2024-01-02,"WAL-MART SUPERCENTER#3113 WHITBY, ON",11.57,,credit
2024-01-02,"WAL-MART SUPERCENTER#3113 WHITBY, ON",7.06,,credit
2024-01-02,"MISTER SAFETY SHOES INC OSHAWA, ON",54.19,,credit
2023-12-28,"KING STREET PHARMACY OSHAWA, ON",2.36,,credit
2023-12-27,"DC REGISTRATION 905-721-2000, ON",28.14,,credit
2023-12-27,CASHBACK/REMISE EN ARGENT,,18.17,credit
2023-12-27,"DOLLARAMA # 278 OSHAWA, ON",15.54,,credit
2023-12-27,"ADA*VENDING MACHINE- C MARKHAM, ON",2.75,,credit
2023-12-27,"ADA*VENDING MACHINE- C MARKHAM, ON",2.75,,credit
